[-17.8613471984863, -10.3747406005859, 2.32036590576172]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.551513671875, -10.7132549285889, 2.54493761062622]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.2479667663574, -11.1231641769409, 2.47194600105286]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.8865528106689, -10.7072057723999, 2.09848141670227]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.4303283691406, -10.1594324111938, 2.28534770011902]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.6719989776611, -10.8969202041626, 2.25116801261902]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.7611122131348, -10.8746004104614, 2.37884712219238]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-16.7918395996094, -10.6455183029175, 1.9619038105011]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-16.6287117004395, -11.5865211486816, 2.23303961753845]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-16.8052234649658, -11.0735807418823, 2.0517566204071]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-16.5624504089355, -10.6081972122192, 1.8729567527771]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-17.300220489502, -10.9345035552979, 1.66447293758392]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.1421775817871, -10.433256149292, 2.08138179779053]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.9358787536621, -10.624626159668, 2.05201816558838]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.4724216461182, -10.6345720291138, 2.02178192138672]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.5393905639648, -11.4388608932495, 1.94271516799927]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.3098201751709, -10.64928150177, 1.99568843841553]::(253.0, 80.0, 142.0, 189.0)::(121.0, 10.0)->(2, 0)
[-16.9793033599854, -10.4486474990845, 1.91624593734741]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.274787902832, -10.5566530227661, 1.93738079071045]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.3861808776855, -10.8898372650146, 1.90574705600739]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-16.3646011352539, -10.1479787826538, 1.58888185024261]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-16.3751678466797, -10.5003757476807, 1.59320533275604]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-17.3860454559326, -10.306450843811, 1.91280853748322]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-16.7333545684814, -10.2326927185059, 1.50468015670776]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-17.0301151275635, -10.5347032546997, 1.88282132148743]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-16.8585872650146, -10.6085376739502, 1.71828150749207]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-16.2035503387451, -10.5666608810425, 1.76103281974792]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.8868560791016, -10.8498153686523, 2.12438678741455]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-16.7910938262939, -10.31822681427, 1.62965023517609]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-16.9054527282715, -11.0293264389038, 1.94205093383789]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-17.3368492126465, -10.6077518463135, 1.88204288482666]::(253.0, 80.0, 142.0, 189.0)::(121.0, 10.0)->(2, 0)
[-17.3762340545654, -10.4213027954102, 1.95647120475769]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-16.8090877532959, -10.3183660507202, 1.65699446201324]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
[-16.5836219787598, -10.0388689041138, 1.70172107219696]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.1271915435791, -10.1048622131348, 1.86787259578705]::(253.0, 80.0, 142.0, 189.0)::(114.0, 10.0)->(2, 0)
[-17.3874645233154, -10.5589437484741, 1.9327085018158]::(253.0, 80.0, 142.0, 189.0)::(117.0, 10.0)->(2, 0)
